{'name': '17_#3', 'I0': 3.2, 'gamma': 1.8, 'TL_mst': 76.299999999999997, 'MD_mst': 642.00000000000011, 'TL': 155.70000000000005, 'MD': 530.40000000000009, 'cost': 2.040629095674968, 'performance': 0.82616822429906545, 'fault tolerance': 1.0, 'efficiency': 0.49004495825305056}
{'name': '18_#1', 'I0': 3.6, 'gamma': 1.8, 'TL_mst': 72.499999999999986, 'MD_mst': 630.59999999999991, 'TL': 120.90000000000002, 'MD': 516.69999999999993, 'cost': 1.6675862068965523, 'performance': 0.81937836980653345, 'fault tolerance': 1.0, 'efficiency': 0.59966914805624461}
{'name': '18_#2', 'I0': 3.6, 'gamma': 1.8, 'TL_mst': 52.099999999999994, 'MD_mst': 347.69999999999993, 'TL': 113.0, 'MD': 297.19999999999999, 'cost': 2.1689059500959695, 'performance': 0.85475985044578673, 'fault tolerance': 1.0, 'efficiency': 0.46106194690265484}
{'name': '18_#3', 'I0': 3.6, 'gamma': 1.8, 'TL_mst': 90.699999999999989, 'MD_mst': 700.19999999999993, 'TL': 175.40000000000001, 'MD': 617.70000000000005, 'cost': 1.933847850055127, 'performance': 0.8821765209940019, 'fault tolerance': 0.9772727272727273, 'efficiency': 0.50535140458173522}
{'name': '19_#1', 'I0': 4.0, 'gamma': 1.8, 'TL_mst': 100.79999999999998, 'MD_mst': 811.19999999999993, 'TL': 203.19999999999999, 'MD': 701.89999999999998, 'cost': 2.0158730158730163, 'performance': 0.86526134122287968, 'fault tolerance': 1.0, 'efficiency': 0.49606299212598415}
{'name': '19_#2', 'I0': 4.0, 'gamma': 1.8, 'TL_mst': 83.0, 'MD_mst': 650.40000000000009, 'TL': 177.70000000000005, 'MD': 547.19999999999993, 'cost': 2.1409638554216874, 'performance': 0.84132841328413266, 'fault tolerance': 1.0, 'efficiency': 0.46707934721440614}
{'name': '19_#3', 'I0': 4.0, 'gamma': 1.8, 'TL_mst': 53.200000000000003, 'MD_mst': 513.79999999999984, 'TL': 153.69999999999999, 'MD': 462.60000000000002, 'cost': 2.8890977443609018, 'performance': 0.90035033086804239, 'fault tolerance': 1.0, 'efficiency': 0.34612882238126225}
{'name': '20_#1', 'I0': 4.8, 'gamma': 1.8, 'TL_mst': 74.799999999999997, 'MD_mst': 619.0, 'TL': 196.10000000000014, 'MD': 540.60000000000002, 'cost': 2.6216577540106969, 'performance': 0.87334410339256874, 'fault tolerance': 1.0, 'efficiency': 0.38143804181540003}
{'name': '20_#2', 'I0': 4.8, 'gamma': 1.8, 'TL_mst': 82.0, 'MD_mst': 750.20000000000005, 'TL': 205.89999999999998, 'MD': 579.90000000000009, 'cost': 2.5109756097560973, 'performance': 0.77299386830178629, 'fault tolerance': 0.9811320754716981, 'efficiency': 0.39073739771092403}
{'name': '20_#3', 'I0': 4.8, 'gamma': 1.8, 'TL_mst': 75.599999999999994, 'MD_mst': 644.80000000000007, 'TL': 167.49999999999997, 'MD': 512.20000000000005, 'cost': 2.2156084656084656, 'performance': 0.79435483870967738, 'fault tolerance': 1.0, 'efficiency': 0.45134328358208958}
{'name': '21_#1', 'I0': 5.6, 'gamma': 1.8, 'TL_mst': 68.700000000000003, 'MD_mst': 640.79999999999984, 'TL': 174.39999999999995, 'MD': 419.19999999999999, 'cost': 2.5385735080058214, 'performance': 0.6541822721598004, 'fault tolerance': 1.0, 'efficiency': 0.393922018348624}
{'name': '21_#2', 'I0': 5.6, 'gamma': 1.8, 'TL_mst': 45.900000000000006, 'MD_mst': 395.60000000000002, 'TL': 139.59999999999997, 'MD': 356.09999999999997, 'cost': 3.0413943355119812, 'performance': 0.90015166835187044, 'fault tolerance': 1.0, 'efficiency': 0.32879656160458465}
{'name': '21_#3', 'I0': 5.6, 'gamma': 1.8, 'TL_mst': 79.800000000000011, 'MD_mst': 468.0, 'TL': 215.29999999999998, 'MD': 391.19999999999999, 'cost': 2.6979949874686713, 'performance': 0.83589743589743593, 'fault tolerance': 1.0, 'efficiency': 0.37064561077566194}
{'name': '22_#1', 'I0': 6.4, 'gamma': 1.8, 'TL_mst': 64.399999999999991, 'MD_mst': 538.79999999999995, 'TL': 197.40000000000003, 'MD': 410.10000000000002, 'cost': 3.0652173913043486, 'performance': 0.76113585746102463, 'fault tolerance': 1.0, 'efficiency': 0.32624113475177297}
{'name': '22_#2', 'I0': 6.4, 'gamma': 1.8, 'TL_mst': 49.599999999999994, 'MD_mst': 501.60000000000002, 'TL': 170.0, 'MD': 451.60000000000002, 'cost': 3.42741935483871, 'performance': 0.90031897926634774, 'fault tolerance': 1.0, 'efficiency': 0.29176470588235293}
{'name': '22_#3', 'I0': 6.4, 'gamma': 1.8, 'TL_mst': 69.0, 'MD_mst': 556.99999999999989, 'TL': 242.59999999999999, 'MD': 480.69999999999993, 'cost': 3.5159420289855072, 'performance': 0.86301615798922804, 'fault tolerance': 1.0, 'efficiency': 0.28441879637262985}
{'name': '23_#1', 'I0': 7.2, 'gamma': 1.8, 'TL_mst': 56.399999999999999, 'MD_mst': 531.60000000000002, 'TL': 189.10000000000008, 'MD': 432.39999999999998, 'cost': 3.3528368794326258, 'performance': 0.81339352896914963, 'fault tolerance': 1.0, 'efficiency': 0.29825489159175023}
